214,"00:28:21,188","00:28:23,423",We've been riding
214,"00:28:21,188","00:28:23,423","for a month, my love."
215,"00:28:23,457","00:28:25,158",Surely the dead can wait.
216,"00:28:25,193","00:28:27,160",Ned.
217,"00:28:36,336","00:28:38,137",Where's the imp?
218,"00:28:41,507","00:28:43,541",Where is our brother?
219,"00:28:43,575","00:28:45,776",Go and find
219,"00:28:43,575","00:28:45,776",the little beast.
220,"00:28:47,880","00:28:50,314",Tell me about
220,"00:28:47,880","00:28:50,314",Jon Arryn.
221,"00:28:50,348","00:28:52,983",One minute
221,"00:28:50,348","00:28:52,983",he was fine and then...
222,"00:28:54,219","00:28:56,954","Burned right through him,"
222,"00:28:54,219","00:28:56,954",whatever it was.
223,"00:28:58,156","00:29:00,091",I loved that man.
224,"00:29:00,125","00:29:01,459",We both did.
225,"00:29:01,493","00:29:04,729",He never had to teach
225,"00:29:01,493","00:29:04,729","you much, but me?"
226,"00:29:04,763","00:29:05,997",You remember me at 16?
227,"00:29:06,031","00:29:07,966",All I wanted to do
228,"00:29:08,000","00:29:10,635",was crack skulls
228,"00:29:08,000","00:29:10,635",and fuck girls.
229,"00:29:10,669","00:29:13,571",- He showed me what was what.
229,"00:29:10,669","00:29:13,571",- Aye.
230,"00:29:13,605","00:29:16,941",Don't look at me like that.
230,"00:29:13,605","00:29:16,941",It's not his fault I didn't listen.
231,"00:29:20,880","00:29:23,214","I need you, Ned--"
232,"00:29:23,249","00:29:27,152","down at King's Landing, not up here"
232,"00:29:23,249","00:29:27,152",where you're no damn use to anybody.
233,"00:29:28,688","00:29:31,556","Lord Eddard Stark,"
234,"00:29:31,591","00:29:34,192",I would name you
234,"00:29:31,591","00:29:34,192",the Hand of the King.
235,"00:29:38,631","00:29:40,699",I'm not worthy
235,"00:29:38,631","00:29:40,699",of the honor.
236,"00:29:40,733","00:29:44,470",I'm not trying to honor you.
236,"00:29:40,733","00:29:44,470",I'm trying to get you to run my kingdom
237,"00:29:44,504","00:29:48,040","while I eat, drink and whore"
237,"00:29:44,504","00:29:48,040",my way to an early grave.
238,"00:29:48,074","00:29:50,175","Damn it, Ned, stand up."
239,"00:29:51,444","00:29:53,613",You helped me win
239,"00:29:51,444","00:29:53,613","the iron throne,"
240,"00:29:53,647","00:29:55,748",now help me
240,"00:29:53,647","00:29:55,748",keep the damn thing.
241,"00:29:56,783","00:29:58,784",We were meant
241,"00:29:56,783","00:29:58,784",to rule together.
242,"00:29:58,818","00:30:02,887","If your sister had lived,"
242,"00:29:58,818","00:30:02,887",we'd have been bound by blood.
243,"00:30:02,922","00:30:05,290","Well, it's not too late."
244,"00:30:06,692","00:30:08,627","I have a son,"
244,"00:30:06,692","00:30:08,627",you have a daughter.
245,"00:30:10,363","00:30:12,197",We'll join our Houses.
246,"00:30:36,191","00:30:40,161",-
246,"00:30:36,191","00:30:40,161",It is true what they say
246,"00:30:36,191","00:30:40,161",about the northern girls.
247,"00:30:48,437","00:30:50,638",Did you hear the King's
247,"00:30:48,437","00:30:50,638",in Winterfell?
